"Record Key","Chainage Start (m)","Chainage End (m)","Length (m)","Pipeline Section","Register","Asset Type","Asset ID","Trench Type","Source Length (m)","Drawing (Start)","Drawing (End)","Drawing (superseded)","Info Source","Included in Current Plan","Section Ref (source)","Feature Name","Utility Description","Surface","Pipeline DN","Embankment Treatment","Creek Bed Treatment","Pipe Description","Type 6 (m)","Type 7 (m)","Type 4 & 7 (m)","Type 4 & 6 (m)","Operator","Location","Material","Size (mm)","ID","Actual Chainage (surveyed)","Located","C&G Code","Trench Code","Surveyors PtNo","E","N","Z","Survey Code","Proven to Underside of Service","Test Point","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m)","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Excavation Permit Required?","Excavation Permit Date","Crossing Permit Required?","Crossing Permit Date","Comments","Source File","Source Row","Area (m2)","Timber Density","Thrust Block Category","Installed","Install Date","Installed By","Test Document No","Test Status","Test Date","Complete","Completion Date","Progress Notes","Unit Rate ($)","Quantity","Unit","Total Cost ($)","Fitting Type","Type of Bend","Fitting Material","Fitting DN (mm)","Max Test Pressure (kPa)","Allowable Lateral Bearing (kPa)","Thrust Block Item","Design Source","Valve Type","Crossing Type","Crew","Bend Rate Class","Completion Driver","Front Chainage (m)","Auto Complete","Auto Complete As At","Unlabelled Column CO","Valve Arrangement Type","Valve Assembly Group","Valve Arrangement","Branch / Tee Size","Air Valve","Scour Valve","Side","Invert Level (m)","Depth of Invert (m)","Natural Surface (m)","Orifice Plate Bore (mm)","Within 1% AEP Flood Zone","Claim Item No (PC02)","Location Drawing Ref"
"PHW-TT-0001","0","327.039","327.039","PHW","Trench Type","TRENCH SECTION","","1A","327.039","D-DWG-PHW-001.2","D-DWG-PHW-001.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.122","","","","","","","","","","","","","",""
"PHW-PIPE-0001","0","150","150","PHW","Pipe","PIPE","PHW-PIPE-0001","","","D-DWG-PHW-001.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","0.095","","","","","","","","","","","","","",""
"PHW-VG-0001","10","20","10","PHW","Vegetation","TREE REMOVAL","VEG_PHW001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 LARGE TREE, MULTIPLE SMALL TREES","T2W - Tree Removal TakeOff (V.1).xlsx","18","195","HEAVY","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","0.097","","","","","","","","","","","","","",""
"PHW-FN-0001","15","","","PHW","Foreign Service","FENCE","PHW-FN-0001","","","D-DWG-PHW-001.2","","D-DWG-PHW-001_C","","Yes","PHW","","FENCE LINE NO POSTS ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWG-TB-001","0.548","","","PWG","Thrust Block","THRUST BLOCK","PWG-TB-001","","","","","","","","PWG","","Type 11","","","","","","","","","","","","DICL","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","89","","","Bend","","","","","","","Yes","2026-08-31","","28674","1","each","28674","Bend","11.25","DICL","375","2833","150","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","0.089","","","","","","","","","","","","","",""
"PHW-BND-001","18.832","","","PHW","Bend","HOR","PHW-BND-001","","","D-DWG-PHW-001.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","22.5°","DICL","600","","","","","","","","22.5","PIPE","0","NO","","0.103","","","","","","","","","","","","","",""
"PHW-CM-0001","38","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0001","","","D-DWG-PHW-001.2","","D-DWG-PHW-001_C","BYDA","Yes","PHW","","BYDA TELSTRA COMMSTUD","","","","","","","","","","Telstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.127","","","","","","","","","","","","","",""
"PHW-CM-0002","44","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0002","","","D-DWG-PHW-001.2","","D-DWG-PHW-001_C","BYDA","Yes","PHW","","BYDA TELSTRA COMMSTUD","","","","","","","","","","Telstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.075","","","","","","","","","","","","","",""
"PHW-VG-0002","60","200","140","PHW","Vegetation","TREE REMOVAL","VEG_PHW002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MULTIPLE SMALL TREES","T2W - Tree Removal TakeOff (V.1).xlsx","19","658","LIGHT","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","0.076","","","","","","","","","","","","","",""
"PHW-PIPE-0002","150","225.345","75.345","PHW","Pipe","PIPE","PHW-PIPE-0002","","","D-DWG-PHW-001.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","0.099","","","","","","","","","","","","","",""
