"Pipeline Section","Bend Rate Class","Description","Material","DN (mm)","Bends","Unit","Rate","Effective From","Rate Source / Basis","Lookup Key","Cost Rate","Margin ($)","Margin %"
"PHW","11.25","Bend; 11.25 deg DICL","DICL","600","39","each","","","Not yet priced — enter the BoQ item and rate","PHW|11.25","","",""
"PHW","22.5","Bend; 22.5 deg DICL","DICL","600","19","each","","","Not yet priced — enter the BoQ item and rate","PHW|22.5","","",""
"PHW","45","Bend; 45 deg DICL","DICL","600","19","each","","","Not yet priced — enter the BoQ item and rate","PHW|45","","",""
"PHW","Mitred 1-cut","Bend; MSCL mitred, 1 cut (6.8–11.3 deg)","MSCL","650","13","each","","","Not yet priced — enter the BoQ item and rate","PHW|Mitred 1-cut","","",""
"PHW","Mitred 2-cut","Bend; MSCL mitred, 2 cuts (13.9–47.1 deg)","MSCL","650","18","each","","","Not yet priced — enter the BoQ item and rate","PHW|Mitred 2-cut","","",""
"PWG","11.25","Bend; 11.25 deg DICL","DICL","375","60","each","","","Not yet priced — enter the BoQ item and rate","PWG|11.25","","",""
"PWG","22.5","Bend; 22.5 deg DICL","DICL","375","23","each","","","Not yet priced — enter the BoQ item and rate","PWG|22.5","","",""
"PWG","45","Bend; 45 deg DICL","DICL","375","16","each","","","Not yet priced — enter the BoQ item and rate","PWG|45","","",""
"PWG","Mitred 1-cut","Bend; MSCL mitred, 1 cut (6–11.9 deg)","MSCL","450","14","each","","","Not yet priced — enter the BoQ item and rate","PWG|Mitred 1-cut","","",""
"PWG","Mitred 2-cut","Bend; MSCL mitred, 2 cuts (12.8–39.1 deg)","MSCL","450","12","each","","","Not yet priced — enter the BoQ item and rate","PWG|Mitred 2-cut","","",""
