"Type","Description","Unit","Charge Rate ($/h)","Cost Rate ($/h)","Margin ($/h)","Notes"
"Labour","Supervisor","hour","150","80","70",""
"Labour","Pipe crew","hour","150","65","85",""
"Labour","Welder","hour","200","80","120",""
"Labour","Trades assistant","hour","","","",""
"Labour","Traffic controller","hour","","","",""
"Labour","Surveyor","hour","","","",""
"Plant","Excavator 30t","hour","600","350","250",""
"Plant","Excavator 20t","hour","400","250","150",""
"Plant","Sideboom","hour","","","",""
"Plant","Padding machine","hour","","","",""
"Plant","Dozer","hour","","","",""
"Plant","Compactor","hour","","","",""
"Plant","Water cart","hour","","","",""
"Plant","Float","hour","","","",""
"Subcontractor","","hour","","","",""
