"Pipeline Section","Thrust Block Type","Item","Fitting","Angle / Size","Material","DN (mm)","Blocks","Unit","Rate","Cuts","Effective From","Rate Source / Basis","Lookup Key","Cost Rate","Margin ($)","Margin %"
"PHW","Type 1","Bend; 45 deg","Bend","45","DICL","600","8","each","114663","","2026-08-27","Item PHW-6210.01.05 (Provisional Quantity)","PHW|Type 1|Bend; 45 deg","90285.82677165355","24377.17322834645","0.21259842519685035"
"PHW","Type 2","Bend; 22.5 deg","Bend","22.5","DICL","600","1","each","99539","","2026-08-27","Item PHW-6210.02.02 (Provisional Quantity)","PHW|Type 2|Bend; 22.5 deg","78377.1653543307","21161.834645669296","0.21259842519685043"
"PHW","Type 2","Bend; 22.5+11.25 deg","Bend","22.5+11.25","DICL","600","1","each","99969","","2026-08-27","Item PHW-6210.02.04 (Provisional Quantity)","PHW|Type 2|Bend; 22.5+11.25 deg","78715.74803149606","21253.251968503944","0.21259842519685046"
"PHW","Type 2","Bend; MS - 38.2°","Bend","38.2","MSCL","650","1","each","104391","2","2026-08-27","Item PHW-6210.02.10c (Provisional Quantity)","PHW|Type 2|Bend; MS - 38.2°","82197.63779527559","22193.362204724413","0.21259842519685043"
"PHW","Type 3","Bend; 45 deg","Bend","45","DICL","600","4","each","16755","","2026-08-27","Item PHW-6210.03.05 (Provisional Quantity)","PHW|Type 3|Bend; 45 deg","13192.913385826772","3562.0866141732276","0.21259842519685035"
"PHW","Type 3","Bend; MS - 43.2°","Bend","43.2","MSCL","650","1","each","26944","2","2026-08-27","Item PHW-6210.03.10c (Provisional Quantity) — covers 47.1° & 43.2° cuts","PHW|Type 3|Bend; MS - 43.2°","21215.748031496063","5728.251968503937","0.2125984251968504"
"PHW","Type 3","Bend; MS - 47.1°","Bend","47.1","MSCL","650","1","each","26944","2","2026-08-27","Item PHW-6210.03.10c (Provisional Quantity) — covers 47.1° & 43.2° cuts","PHW|Type 3|Bend; MS - 47.1°","21215.748031496063","5728.251968503937","0.2125984251968504"
"PHW","Type 4","Bend; 11.25 deg","Bend","11.25","DICL","600","2","each","15563","","2026-08-27","Item PHW-6210.04.01 (Provisional Quantity)","PHW|Type 4|Bend; 11.25 deg","12254.330708661417","3308.669291338583","0.21259842519685043"
"PHW","Type 4","Bend; 22.5 deg","Bend","22.5","DICL","600","4","each","15780","","2026-08-27","Item PHW-6210.04.02 (Provisional Quantity)","PHW|Type 4|Bend; 22.5 deg","12425.1968503937","3354.8031496062995","0.2125984251968504"
"PHW","Type 4","Bend; 22.5+11.25 deg","Bend","22.5+11.25","DICL","600","2","each","18443","","2026-08-27","Item PHW-6210.04.04 (Provisional Quantity)","PHW|Type 4|Bend; 22.5+11.25 deg","14522.047244094489","3920.9527559055114","0.21259842519685038"
"PHW","Type 4","Bend; 45 deg","Bend","45","DICL","600","5","each","16211","","2026-08-27","Item PHW-6210.04.05 (Provisional Quantity)","PHW|Type 4|Bend; 45 deg","12764.566929133858","3446.433070866142","0.2125984251968504"
