"Pipeline Section","Trench Type","Description","Unit","Rate","Effective From","Rate Source / Basis","Sections in register","Lookup Key","Cost Rate","Margin ($)","Margin %"
"PHW","1A","PQ - remaining length (94.27% of total remaining length)","$/m","448.79","","Item PHW-6110.01 (Provisional Quantity)","41","PHW|1A","353.37795275590554","95.41204724409448","0.21259842519685038"
"PHW","1B/1C","PQ - remaining length (3.57% of total remaining length)","$/m","410.3","","Item PHW-6110.03 (Provisional Quantity)","1","PHW|1B/1C","323.07086614173227","87.22913385826774","0.21259842519685046"
"PHW","1A/1B/1C","PQ - remaining length (1.88% of total remaining length)","$/m","477.6","","Item PHW-6110.02 (Provisional Quantity)","4","PHW|1A/1B/1C","376.06299212598424","101.53700787401579","0.21259842519685046"
"PHW","2","PQ - remaining length (0.28% of total remaining length)","$/m","994","","Item PHW-6110.04 (Provisional Quantity)","3","PHW|2","782.6771653543307","211.32283464566933","0.21259842519685043"
"PHW","4","Remaining length, excluding crossings","$/m","1151.8","","Item PHW-6110.05","24","PHW|4","906.9291338582676","244.87086614173234","0.21259842519685046"
"PHW","4&6","","$/m","","","","0","PHW|4&6","0","",""
"PHW","4&7","Sealed with concrete encasement","$/m","1584","","Item PHW-6120.01","2","PHW|4&7","1247.244094488189","336.7559055118111","0.21259842519685043"
"PHW","5","Remaining length, excluding crossings","$/m","1597.6","","Item PHW-6120.02","9","PHW|5","1257.9527559055118","339.6472440944881","0.21259842519685035"
"PHW","6","Sealed without concrete encasement","$/m","1917","","Item PHW-6120.02","4","PHW|6","1509.4488188976377","407.5511811023623","0.21259842519685046"
"PHW","7","Unsealed without concrete encasement","$/m","1794.4","","Item PHW-6120.03","5","PHW|7","1412.9133858267717","381.4866141732284","0.21259842519685043"
"PHW","8A","","$/m","","","","9","PHW|8A","0","",""
"PWG","1A","PQ - remaining length (98.06% of total remaining length)","$/m","369.11","","Item PWG-6110.01 (Provisional Quantity)","44","PWG|1A","290.6377952755906","78.47220472440944","0.21259842519685035"
"PWG","1B/1C","PQ - remaining length (0.90% of total remaining length)","$/m","385","","Item PWG-6110.03 (Provisional Quantity)","5","PWG|1B/1C","303.1496062992126","81.85039370078738","0.21259842519685032"
"PWG","1A/1B/1C","PQ - remaining length (0.72% of total remaining length)","$/m","398.2","","Item PWG-6110.02 (Provisional Quantity)","3","PWG|1A/1B/1C","313.54330708661416","84.65669291338583","0.2125984251968504"
"PWG","2","PQ - remaining length (0.32% of total remaining length)","$/m","440","","Item PWG-6110.04 (Provisional Quantity)","1","PWG|2","346.45669291338584","93.54330708661416","0.21259842519685038"
"PWG","4","Remaining length, excluding crossings","$/m","916.6","","Item PWG-6110.06","17","PWG|4","721.732283464567","194.86771653543303","0.21259842519685035"
"PWG","4&6","Sealed with concrete encasement","$/m","2190","","Item PWG-6120.01","2","PWG|4&6","1724.4094488188975","465.59055118110246","0.21259842519685043"
"PWG","4&7","Unsealed with concrete encasement","$/m","1638","","Item PWG-6120.02","2","PWG|4&7","1289.763779527559","348.2362204724409","0.21259842519685035"
"PWG","5","Remaining length, excluding crossings","$/m","1448","","Item PWG-6110.07","7","PWG|5","1140.1574803149606","307.8425196850394","0.2125984251968504"
"PWG","6","Sealed without concrete encasement","$/m","984","","Item PWG-6120.03","4","PWG|6","774.8031496062993","209.19685039370074","0.21259842519685035"
"PWG","7","Unsealed without concrete encasement","$/m","565.9","","Item PWG-6120.04","10","PWG|7","445.59055118110234","120.30944881889764","0.2125984251968504"
"PWG","8A","","$/m","","","","10","PWG|8A","","",""
