"Pipeline Section","Valve Class","Valve Type","Description","DN (mm)","Valves","Unit","Rate","Effective From","Rate Source / Basis","Lookup Key","Cost Rate","Margin ($)","Margin %"
"PHW","AV","1A","Air valve — 1A","600","26","each","48300","","Claim item PHW-6420.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|AV|1A","","",""
"PHW","AV","1B (OFFSET)","Air valve — 1B (OFFSET)","600","1","each","59372","","Claim item PHW-6420.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|AV|1B (OFFSET)","","",""
"PHW","AV","2","Air valve — 2","600","5","each","46057","","Claim item PHW-6420.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|AV|2","","",""
"PHW","SCV","1B","Scour valve — 1B","600","15","each","63700","","Claim item PHW-6410.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|SCV|1B","","",""
"PHW","SCV","1E","Scour valve — 1E","600","1","each","64472","","Claim item PHW-6410.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|SCV|1E","","",""
"PHW","SCV","2","Scour valve — 2","600","1","each","77375","","Claim item PHW-6410.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|SCV|2","","",""
"PHW","IV","1 (AV TYPE 2 & SCV TYPE 1B)","Isolation valve — 1 (AV TYPE 2 & SCV TYPE 1B)","600","1","each","400767","","Claim item PHW-6320.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|IV|1 (AV TYPE 2 & SCV TYPE 1B)","","",""
"PHW","IV","3 (AV TYPE 1B)","Isolation valve — 3 (AV TYPE 1B)","600","2","each","395432","","Claim item PHW-6320.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|IV|3 (AV TYPE 1B)","","",""
"PHW","IV","SPECIAL","Isolation valve — SPECIAL","600","1","each","215025","","Claim item PHW-6320.05 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|IV|SPECIAL","","",""
"PHW","IV","SPECIAL (AV TYPE 1B)","Isolation valve — SPECIAL (AV TYPE 1B)","600","1","each","368769","","Claim item PHW-6320.04 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|IV|SPECIAL (AV TYPE 1B)","","",""
"PHW","PIG","1 (AV TYPE 1B)","Pigging station — 1 (AV TYPE 1B)","600","2","each","395434","","Claim item PHW-6320.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PHW|PIG|1 (AV TYPE 1B)","","",""
"PWG","AV","1A","Air valve — 1A","375","23","each","47437","","Claim item PWG-6420.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|AV|1A","","",""
"PWG","AV","1B (OFFSET)","Air valve — 1B (OFFSET)","375","7","each","66481","","Claim item PWG-6420.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|AV|1B (OFFSET)","","",""
"PWG","AV","2","Air valve — 2","375","9","each","41864","","Claim item PWG-6420.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|AV|2","","",""
"PWG","SCV","1B","Scour valve — 1B","375","21","each","66648","","Claim item PWG-6410.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|SCV|1B","","",""
"PWG","SCV","1E","Scour valve — 1E","375","2","each","47999","","Claim item PWG-6410.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|SCV|1E","","",""
"PWG","SCV","2","Scour valve — 2","375","6","each","64351","","Claim item PWG-6410.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|SCV|2","","",""
"PWG","IV","1 (AV TYPE 1B & SCV TYPE 1B)","Isolation valve — 1 (AV TYPE 1B & SCV TYPE 1B)","375","1","each","328770","","Claim item PWG-6320.01 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|IV|1 (AV TYPE 1B & SCV TYPE 1B)","","",""
"PWG","IV","2 (SCV TYPE 1B)","Isolation valve — 2 (SCV TYPE 1B)","375","1","each","301764","","Claim item PWG-6320.02 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|IV|2 (SCV TYPE 1B)","","",""
"PWG","IV","3 (AV TYPE 1B)","Isolation valve — 3 (AV TYPE 1B)","375","4","each","300265","","Claim item PWG-6320.03 (PC02). Rate $ each excl. GST, from PHW_PWG_Valve_BOM_C.xlsx / Valve Register, imported 3 Sep 2026.","PWG|IV|3 (AV TYPE 1B)","","",""
