"Asset Id","Pipeline Section","KP (START)","KP (END)","Feature Name","Embankment Treatment","Creek Bed Treatment","Source Row"
"PHW-CC-0001","PHW","1734","1787","GOWRIE CREEK","LOOSE ROCK","C","3"
"PWG-CC-0001","PWG","903","912","","FABRIC/VEGETATION","","3"
"PHW-CC-0002","PHW","3457","3489","","FABRIC/VEGETATION","","4"
"PWG-CC-0002","PWG","3072","3152","WESTBROOK CREEK","LOOSE ROCK","B","4"
"PHW-CC-0003","PHW","4663","4696","","LOOSE ROCK","A","5"
"PWG-CC-0003","PWG","3992","4014","","FABRIC/VEGETATION","","5"
"PHW-CC-0004","PHW","6773","6793","","LOOSE ROCK","A","6"
"PWG-CC-0004","PWG","5448","5476","DRY CHANNEL","GABION/MATRESS","NOTE 1","6"
"PHW-CC-0005","PHW","6887","6935","","LOOSE ROCK","A","7"
"PWG-CC-0005","PWG","7097","7115","","FABRIC/VEGETATION","","7"
"PHW-CC-0006","PHW","8187","8212","","FABRIC/VEGETATION","","8"
"PWG-CC-0006","PWG","9456","9480","","FABRIC/VEGETATION","","8"
"PHW-CC-0007","PHW","9258","9438","","FABRIC/VEGETATION","","9"
"PWG-CC-0007","PWG","10243","10260","","FABRIC/VEGETATION","","9"
"PHW-CC-0008","PHW","9781","9809","","FABRIC/VEGETATION","","10"
"PWG-CC-0008","PWG","11558","11574","","FABRIC/VEGETATION","","10"
"PHW-CC-0009","PHW","10081","10102","","LOOSE ROCK","A","11"
"PWG-CC-0009","PWG","14076","14139","HODGSON CREEK","LOOSE ROCK","B","11"
"PHW-CC-0010","PHW","11532","11589","DRY CREEK","LOOSE ROCK","C","12"
"PWG-CC-0010","PWG","14179","14224","HODGSON CREEK ARM","LOOSE ROCK","A","12"
"PHW-CC-0011","PHW","11735","11765","DRY CREEK ARM","LOOSE ROCK","","13"
"PWG-CC-0011","PWG","14224","14423","","FABRIC/VEGETATION","","13"
"PHW-CC-0012","PHW","16180","16191","","FABRIC/VEGETATION","","14"
"PWG-CC-0012","PWG","15810","15826","","FABRIC/VEGETATION","","14"
"PHW-CC-0013","PHW","16978","17002","SPRING CREEK","LOOSE ROCK","A","15"
"PWG-CC-0013","PWG","19622","19645","","FABRIC/VEGETATION","","15"
"PHW-CC-0014","PHW","17900","18040","","FABRIC/VEGETATION","","16"
"PWG-CC-0014","PWG","22350","22377","","FABRIC/VEGETATION","","16"
"PHW-CC-0015","PHW","18469","18539","","FABRIC/VEGETATION","","17"
"PWG-CC-0015","PWG","24185","24208","","FABRIC/VEGETATION","","17"
"PWG-CC-0016","PWG","24468","24494","","FABRIC/VEGETATION","","18"
"PWG-CC-0017","PWG","24955","25018","EMU CREEK","LOOSE ROCK","A","19"
