"Asset Id","Pipeline Section","KP","Utility Description","Utility Type","Operator","Size (mm)","Info Source","Drawing","Drawing (superseded)","Included in Current Plan","Comments","Source Row"
"PHW-FN-0001","PHW","15","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-001.2","D-DWG-PHW-001_C","Yes","","2"
"PHW-CM-0001","PHW","38","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-001.2","D-DWG-PHW-001_C","Yes","","3"
"PHW-CM-0002","PHW","44","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-001.2","D-DWG-PHW-001_C","Yes","","4"
"PHW-CM-0003","PHW","361","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-001.2","D-DWG-PHW-001_C","Yes","","5"
"PHW-EL-0001","PHW","364","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-001.2","","Yes","","6"
"PHW-FN-0002","PHW","671","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-001.2","D-DWG-PHW-001_C","Yes","","7"
"PHW-DR-0001","PHW","1105","PUP DRAINAGE DN375","DRAINAGE","","375","PUP","D-DWG-PHW-002.2","","Yes","","8"
"PHW-SW-0001","PHW","1242","BYDA TRC SEWER","SEWER","Toowoomba Regional Council","","BYDA","D-DWG-PHW-002.2","D-DWG-PHW-002_C","Yes","DEPTH OF DUAL SEWER MAINS
NOT KNOWN AT EXACT CROSSING
LOCATION. CONTRACTOR TO
CONFIRM PRIOR TO D&C DESIGN.","9"
"PHW-SW-0002","PHW","1243","PUP SEWER DN375","SEWER","","375","PUP","D-DWG-PHW-002.2","","Yes","DEPTH OF DUAL SEWER MAINS
NOT KNOWN AT EXACT CROSSING
LOCATION. CONTRACTOR TO
CONFIRM PRIOR TO D&C DESIGN.","10"
"PHW-EL-0002","PHW","1459","PUP ELECTRICITY","ELECTRICITY","","","PUP","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","11"
"PHW-FN-0003","PHW","1462","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","12"
"PHW-FN-0004","PHW","1534","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","13"
"PHW-FN-0005","PHW","1736","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","14"
"PHW-FN-0006","PHW","1820","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","15"
"PHW-FN-0007","PHW","1868","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","16"
"PHW-FN-0008","PHW","1897","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","17"
"PHW-FN-0009","PHW","1915","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","Not Included in Rev 2","18"
"PHW-FN-0010","PHW","2062","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","19"
"PHW-FN-0011","PHW","2062","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","20"
"PHW-CM-0004","PHW","2093","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-003.2","D-DWG-PHW-003_C","Yes","","21"
"PHW-RW-0001","PHW","2104","BYDA RECYCLED WATER","WATER - RECYCLED","","","BYDA","D-DWG-PHW-004.2","","Yes","","22"
"PHW-CM-0005","PHW","2108","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-004.2","D-DWG-PHW-004_C","Yes","","23"
"PHW-FN-0012","PHW","2123","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-004.2","","Yes","","24"
"PHW-WA-0001","PHW","2340","BYDA WATER","WATER","","","BYDA","D-DWG-PHW-004.2","","Yes","","25"
"PHW-CM-0006","PHW","2506","BYDA COMMS DN35","COMMUNICATIONS","","35","BYDA","D-DWG-PHW-004.2","","Yes","","26"
"PHW-WA-0002","PHW","2507","BYDA WATER","WATER","","","BYDA","D-DWG-PHW-004.2","D-DWG-PHW-004_C","Yes","","27"
"PHW-CM-0007","PHW","2560","BYDA TELSTRA COMMSTUD","COMMUNICATIONS","Telstra","","BYDA","D-DWG-PHW-004.2","","Yes","","28"
"PHW-WA-0003","PHW","2793","BYDA WATER ","WATER","","","BYDA","D-DWG-PHW-004.2","","Yes","","29"
"PHW-WA-0004","PHW","2793","BYDA WATER ","WATER","","","BYDA","D-DWG-PHW-004.2","","Yes","","30"
"PHW-FN-0013","PHW","2796","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-004.2","","Yes","","31"
"PHW-WA-0005","PHW","2810","BYDA WATER","WATER","","","BYDA","D-DWG-PHW-005.2","","Yes","","32"
"PHW-WA-0006","PHW","2813","BYDA WATER DN450","WATER","","450","BYDA","D-DWG-PHW-005.2","","Yes","","33"
"PHW-CM-0008","PHW","2813","BYDA COMMS DN15","COMMUNICATIONS","","15","BYDA","D-DWG-PHW-005.2","","Yes","","34"
"PHW-FN-0014","PHW","2923","FENCE CHAINWIRE","FENCE","","","","D-DWG-PHW-005.2","D-DWG-PHW-005_C","Yes","","35"
"PHW-FN-0015","PHW","2923","FENCE LINE NO POSTS ","FENCE","","","","D-DWG-PHW-005.2","D-DWG-PHW-005_C","Yes","","36"
"PHW-EL-0004","PHW","3000","PUP ELECTRICITY","ELECTRICITY","Ergon Energy","","PUP","D-DWG-PHW-005.2","","Yes","POWER POLE TO BE RELOCATED BY
OTHERS (ERGON) PRIOR TO CONSTRUCTION","37"
