"Asset Id","Pipeline Section","KP (START)","KP (END)","Utility Type","Surface","Pipeline DN","Total Length Sections (m)","Feature Name","Operator","Proposed Crossing Method","Pipe Description","Type 6 (m)","Type 7 (m)","Type 4 & 7 (m)","Type 4 & 6 (m)","Source Row"
"PHW-PT-0001","PHW","327.039","404.867","SIGNIFICANT PROTECTED TREES","N/A","600","77.828","Trees - Kieman Road","TRC","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","6"
"PHW-RD-0001","PHW","886","1135","MINOR ROAD CROSSING","Unsealed","600","249","Access Track - Kieman Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","","219.2","29.8","","7"
"PHW-RD-0002","PHW","1232.924","1255.696","MAJOR ROAD CROSSING","Sealed","600","22.7719999999999","Old Goombungee Road","TRC","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","8"
"PHW-RL-0001","PHW","2038.507","2110.24","MAJOR RAIL CROSSING","Rail","600","71.7329999999997","West Moreton System","QLD Rail","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x15WT MS Enveloper","","","","","9"
"PHW-RD-0003","PHW","4416.743","4455.043","MINOR ROAD CROSSING","Sealed","600","38.2999999999993","Morris Road","TRC","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","10"
"PHW-RD-0004","PHW","6368.309","6385.309","MINOR ROAD CROSSING","Sealed","600","17","Ganzer Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","17","","","","11"
"PHW-RD-0005","PHW","6980.09","7035.325","MAJOR ROAD CROSSING","Sealed","600","55.2349999999997","Gowrie Junction road","TRC","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","12"
"PHW-RD-0006","PHW","7811.422","7833.422","MINOR ROAD CROSSING","Unsealed","600","22","Holmes Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","","22","","","13"
"PHW-RD-0007","PHW","10342","10364","MINOR ROAD CROSSING","Sealed","600","22","Khurt Court","TRC","Open Trenching","DN600 PN35 DICL RRJ","22","","","","14"
"PHW-RD-0008","PHW","10582.353","10645.383","MAJOR ROAD CROSSING","Sealed","600","63.0300000000007","Toowoomba Connection Road / Warrego Highway","TMR","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","15"
"PHW-RD-0009","PHW","11174","11181","MINOR ROAD CROSSING","Sealed","600","7","Wirth Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","7","","","","16"
"PHW-RD-0010","PHW","11427.142","11509.11","MAJOR ROAD CROSSING","Sealed","600","81.9680000000008","Second Range Crossing","TMR","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","17"
"PHW-RD-0011","PHW","12461","12469","MINOR ROAD CROSSING","Unsealed","600","8","Carrington Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","","8","","","18"
"PHW-RD-0012","PHW","13274.77","13346.373","MAJOR ROAD CROSSING","Sealed","600","71.6029999999992","Toowoomba Cecil Plains Road","TMR","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","19"
"PHW-RD-0013","PHW","14806.133","14839.513","MAJOR ROAD CROSSING","Sealed","600","33.380000000001","Drayton Wellcamp Road","TRC","Thrust Boring","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","20"
"PHW-RD-0014","PHW","15762","15777","MINOR ROAD CROSSING","Sealed","600","15","Max Smith Road","TRC","Open Trenching","DN600 PN35 DICL RRJ","15","","","","21"
"PWG-RD-0001","PWG","16","27","MINOR ROAD CROSSING","Unsealed","375","11","E. Drews Road","TRC","Open Trenching","DN375 PN35 DICL RRJ","","11","","","6"
"PWG-RD-0002","PWG","1490","1501","MINOR ROAD CROSSING","Unsealed","375","11","Keding Road","TRC","Open Trenching","DN375 PN35 DICL RRJ","","11","","","7"
"PWG-RD-0003","PWG","1857","1880","MINOR ROAD CROSSING","Unsealed","375","23","Crockers Road","TRC","Open Trenching","DN375 PN35 DICL RRJ","","23","","","8"
"PWG-RD-0004","PWG","1888.54","1900","MINOR ROAD CROSSING","Unsealed","375","11.46","Keding Road","TRC","Open Trenching","OD457x5WT Sintalock Type 1 MSCL","","","11.46","","9"
"PWG-RD-0005","PWG","2572","2596","MINOR ROAD CROSSING","Sealed","375","24","Gore Street","TRC","Open Trenching","OD457x5WT Sintalock Type 1 MSCL","3.9","","","20.1","10"
"PWG-CP-0001","PWG","2626","2694","CARPARK/SIDE LANE","Unsealed","375","68","Progress Avenue","TRC","Open Trenching","DN375 PN35 DICL RRJ","","68","","","11"
"PWG-RD-0006","PWG","2694","2739","MINOR ROAD CROSSING","Sealed","375","45","Progress Avenue","TRC","Open Trenching","DN375 PN35 DICL RRJ","45","","","","12"
"PWG-RD-0007","PWG","2763","2777","MINOR ROAD CROSSING","Sealed","375","14","Main Street","TRC","Open Trenching","OD457x5WT Sintalock Type 1 MSCL","","","","14","13"
"PWG-RD-0008","PWG","2865.366","2908.821","MAJOR ROAD CROSSING","Sealed","375","43.4549999999999","Toowoomba-Athol Road","TMR","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","14"
"PWG-RL-0001","PWG","7547.413","7579.15","MAJOR RAIL CROSSING","Rail","375","31.7370000000001","South Western System","QLD Rail","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x12WT MS Enveloper","","","","","15"
"PWG-RD-0009","PWG","7725","7743","MINOR ROAD CROSSING","Unsealed","375","18","Hartvigsen Street","TRC","Open Trenching","DN375 PN35 DICL RRJ","","18","","","16"
"PWG-RD-0010","PWG","8293.647","8315.201","MAJOR ROAD CROSSING","Sealed","375","21.5539999999983","Umbiram Road","TRC","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","17"
"PWG-PT-0001","PWG","8335.614","8400.622","SIGNIFICANT PROTECTED TREES","N/A","375","65.0079999999998","Wyreema Memorial Park","TRC","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","18"
"PWG-RL-0002","PWG","8487.151","8542.069","MAJOR RAIL CROSSING","Rail","375","54.9179999999997","South Western System","QLD Rail","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x12WT MS Enveloper","","","","","19"
"PWG-CP-0002","PWG","8578","8622","CARPARK/SIDE LANE","Unsealed","375","44","Wyreema Cambooya Road Side Bay","TRC","Open Trenching","DN375 PN35 DICL RRJ","","39.01","4.99","","20"
"PWG-CP-0003","PWG","8780","8840","CARPARK/SIDE LANE","Unsealed","375","60","Wyreema Cambooya Road Side Bay","TRC","Open Trenching","DN375 PN35 DICL RRJ","","60","","","21"
"PWG-CP-0004","PWG","9115","9157","CARPARK/SIDE LANE","Unsealed","375","42","Wyreema Cambooya Road Side Bay","TRC","Open Trenching","DN375 PN35 DICL RRJ","","42","","","22"
"PWG-RD-0011","PWG","12310","12320","MINOR ROAD CROSSING","Sealed","375","10","Bourne Road","TRC","Open Trenching","DN375 PN35 DICL RRJ","10","","","","23"
"PWG-RD-0012","PWG","12702.22","12734.864","MINOR ROAD CROSSING","Sealed","375","32.6440000000002","Wyreema Cambooya Road","TRC","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","24"
"PWG-RD-0013","PWG","13218.214","13247.005","MINOR ROAD CROSSING","Sealed","375","28.7909999999993","Cambooya Felton Road","TRC","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","25"
"PWG-RD-0014","PWG","14525.498","14572.298","MAJOR ROAD CROSSING","Sealed","375","46.8000000000011","William Street / Toowoomba Karara Road","TMR","Thrust Boring","OD457x5WT Sintalock Type 1 MSCL Carrier & OD610x9WT MS Enveloper","","","","","26"
"PWG-RD-0015","PWG","16411","16425","MINOR ROAD CROSSING","Unsealed","375","14","Todd Road","TRC","Open Trenching","DN375 PN35 DICL RRJ","","14","","","27"
