"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Asset Id","KP","Pipeline Section","Utility Type","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date 2","Comments","Thrust Block Category"
"","","","","","","","","","","PPH-TB-001","63.236","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-002","81.352","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-003","94.039","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-004","833.013","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-005","871.821","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-006","988.07","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PPH-TB-007","992.261","PPH","THRUST BLOCK","Type 5","","","DICL","500","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-001","18.832","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-002","848.792","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-003","899.995","PHW","THRUST BLOCK","Type 6","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-004","1086.423","PHW","THRUST BLOCK","Type 6","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-005","1137.626","PHW","THRUST BLOCK","Type 3","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-006","1256.696","PHW","THRUST BLOCK","Type 3","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-007","1265.039","PHW","THRUST BLOCK","Type 1","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-008","1451.029","PHW","THRUST BLOCK","Type 1","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-009","1471.052","PHW","THRUST BLOCK","Type 8","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-010","1675.935","PHW","THRUST BLOCK","Type 10","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-011","1733.958","PHW","THRUST BLOCK","Type 10","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
