"Pipe ID","Pipeline","Start Chainage","End Chainage","SC(m)","EC (m)","Area m2","Timber Density HEAVY/LIGHT/TRIM","Other Information","Loaded to Master Register?"
"VEG_PAE001","PAE","0.06","0.07","","","90.3","LIGHT","MULTIPLE SMALL TREES","NOT LOADED - section not in register"
"VEG_PAE002","PAE","0.15","0.21","","","503","TRIM","BRANCHES HANGING OVER PIPE","NOT LOADED - section not in register"
"VEG_PAE003","PAE","0.51","0.52","","","90.4","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PHW001","PHW","0.01","0.02","10","20","195","HEAVY","1 LARGE TREE, MULTIPLE SMALL TREES","LOADED"
"VEG_PHW002","PHW","0.06","0.2","60","200","658","LIGHT","MULTIPLE SMALL TREES","LOADED"
"VEG_PHW003","PHW","0.25","0.27","250","270","110","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW004","PHW","0.33","0.37","330","370","486","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW005","PHW","0.38","0.41","380","410","145","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW006","PHW","0.45","0.46","450","460","18.7","TRIM","BRANCHES HANGING OVER PIPE","LOADED"
"VEG_PHW007","PHW","0.51","0.53","510","530","85.9","TRIM","3 SMALL TREES","LOADED"
"VEG_PHW008","PHW","0.54","0.56","540","560","147","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW009","PHW","0.62","0.64","620","640","108","HEAVY","1 LARGE TREE, 1 SMALL TREE","LOADED"
"VEG_PHW010","PHW","0.67","0.69","670","690","110","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW011","PHW","0.73","0.74","730","740","62.9","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW012","PHW","0.77","0.8","770","800","262","HEAVY","3 LARGE TREES","LOADED"
"VEG_PHW013","PHW","0.89","0.9","890","900","24.2","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW014","PHW","0.92","0.93","920","930","66.5","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW015","PHW","0.95","0.95","950","950","9.64","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW016","PHW","0.96","0.98","960","980","123","HEAVY","2 LARGE TREES, TRIMMING NEEDED","LOADED"
"VEG_PHW017","PHW","1","1.01","1000","1010","55.6","TRIM","BRANCHES HANGING OVER PIPE","LOADED"
"VEG_PHW018","PHW","1.01","1.02","1010","1020","57.9","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW019","PHW","1.04","1.05","1040","1050","23","LIGHT","2 SMALL TREES","LOADED"
"VEG_PHW020","PHW","1.07","1.08","1070","1080","85.4","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW021","PHW","1.1","1.13","1100","1130","117","HEAVY","3 LARGE TREES","LOADED"
"VEG_PHW022","PHW","1.14","1.15","1140","1150","82","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW023","PHW","1.17","1.19","1170","1190","46.3","TRIM","BRANCHES HANGING OVER PIPE","LOADED"
"VEG_PHW024","PHW","1.21","1.22","1210","1220","12.4","TRIM","BRANCHES HANGING OVER PIPE","LOADED"
"VEG_PHW025","PHW","1.25","1.25","1250","1250","54","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW026","PHW","1.32","1.33","1320","1330","66","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW027","PHW","1.74","1.78","1740","1780","402","HEAVY","2 LARGE TREES, 2 SMALL TREES","LOADED"
"VEG_PHW028","PHW","1.81","1.83","1810","1830","271","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW029","PHW","1.98","2.01","1980","2010","380","HEAVY","1 LARGE TREE, 2 SMALL TREES","LOADED"
"VEG_PHW030","PHW","2.03","2.04","2030","2040","99","LIGHT","2 SMALL TREES","LOADED"
"VEG_PHW031","PHW","2.32","2.33","2320","2330","44.8","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW032","PHW","2.36","2.38","2360","2380","141","TRIM","1 LARGE TREE, 1 SMALL TREE","LOADED"
"VEG_PHW033","PHW","2.36","2.37","2360","2370","94","TRIM","1 LARGE TREE","LOADED"
"VEG_PHW034","PHW","2.4","2.42","2400","2420","138","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW035","PHW","2.46","2.48","2460","2480","132","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW036","PHW","2.48","2.49","2480","2490","37.7","LIGHT","2 SMALL TREES","LOADED"
"VEG_PHW037","PHW","2.5","2.51","2500","2510","17","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW038","PHW","2.56","2.58","2560","2580","117","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW039","PHW","2.62","2.62","2620","2620","29","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW040","PHW","2.71","2.72","2710","2720","43.3","LIGHT","3 SMALL TREES","LOADED"
"VEG_PHW041","PHW","2.75","2.75","2750","2750","32.5","TRIM","BRANCHES HANGING OVER PIPE","LOADED"
"VEG_PHW042","PHW","2.77","2.79","2770","2790","86.4","HEAVY","1 LARGE TREE, 1 SMALL TREE","LOADED"
"VEG_PHW043","PHW","2.81","2.81","2810","2810","41.4","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW044","PHW","3.93","3.94","3930","3940","283","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW045","PHW","3.95","3.96","3950","3960","99","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW046","PHW","4.9","4.91","4900","4910","309","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW047","PHW","5.39","5.41","5390","5410","142","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW048","PHW","5.84","5.85","5840","5850","85.2","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW049","PHW","5.97","5.99","5970","5990","212","HEAVY","2 LARGE TREES","LOADED"
"VEG_PHW050","PHW","6.62","6.63","6620","6630","27","LIGHT","1 SMALL TREE","LOADED"
"VEG_PHW051","PHW","8.31","8.32","8310","8320","188","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW052","PHW","8.35","8.36","8350","8360","54.8","HEAVY","1 LARGE TREE","LOADED"
"VEG_PHW053","PHW","8.46","8.47","8460","8470","56","TRIM","1 LARGE TREE","LOADED"
