"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Col13","Asset Id","Drawing","Pipeline Section","KP","Utility Type","Notes , Not on Plan","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date"
"","","","","","","","","","","PHW","PHW-TS-0001","D-DWG-PHW-001","1.1","188","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0002","D-DWG-PHW-001","1.1","197.4","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0003","D-DWG-PHW-001","1.1","206.8","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0004","D-DWG-PHW-001","1.1","216.2","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0005","D-DWG-PHW-001","1.1","225.6","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0006","D-DWG-PHW-001","1.1","235","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0007","D-DWG-PHW-001","1.1","244.4","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0008","D-DWG-PHW-001","1.1","253.8","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0009","D-DWG-PHW-001","1.1","259","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0010","D-DWG-PHW-001","1.1","266.5","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0011","D-DWG-PHW-001","1.1","274","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0012","D-DWG-PHW-001","1.1","281.5","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0013","D-DWG-PHW-001","1.1","289","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0014","D-DWG-PHW-001","1.1","296.5","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0015","D-DWG-PHW-001","1.1","304","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0016","D-DWG-PHW-001","1.1","311.5","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0017","D-DWG-PHW-001","1.1","319","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0018","D-DWG-PHW-001","1.1","326.5","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0019","D-DWG-PHW-001","1.2","448","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0020","D-DWG-PHW-001","1.3","463","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0021","D-DWG-PHW-001","1.3","471.4","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0022","D-DWG-PHW-001","1.3","479.8","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0023","D-DWG-PHW-001","1.4","486.1","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-BS-0001","D-DWG-PHW-001","1.4","492.5","Bulk Head ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0024","D-DWG-PHW-001","1.4","498.9","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PHW","PHW-TS-0025","D-DWG-PHW-001","1.4","505.3","Trench Stop","","","","","","","","","","","","","","","","","","","","","",""
