"Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Drawing (START)","Drawing (END)","KP (START)","KP (END)","Trench Type","Total Length Sections (m)","Pipeline Section","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date (2)","Comments","Trench Type (2)","PWG","PHW","Total (m)","No of Sections","Source Row"
"","","","","","","","","","D-DWG-PHW-001.2","D-DWG-PHW-001.2","0","327.039","1A","327.039","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","1A","25128.364","16838.593","41966.957","85","6"
"","","","","","","","","","D-DWG-PHW-001.2","D-DWG-PHW-001.2","327.039","404.862","8A","77.823","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","1B/1C","134.447","58.1290000000008","192.576000000001","6","7"
"","","","","","","","","","D-DWG-PHW-001.2","D-DWG-PHW-001.2","404.862","426.39","4","21.528","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","1A/1B/1C","94.0459999999996","143.795","237.841","7","8"
"","","","","","","","","","D-DWG-PHW-001.2","D-DWG-PHW-002.2","426.39","878.592","1A","452.202","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","2","15","25.7540000000008","40.7540000000008","4","9"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","878.592","886.749","4","8.15700000000004","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","4","432.844","683.232999999997","1116.077","41","10"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","886.749","955.896","7","69.1469999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","4&6","60.7420000000002","0","60.7420000000002","2","11"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","955.896","960.896","4&7","5","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","4&7","18.4659999999999","28.9100000000001","47.376","4","12"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","960.896","1092.896","7","132","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","5","387.401999999997","532.124","919.525999999997","16","13"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1092.896","1116.806","4&7","23.9100000000001","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","6","91.3470000000025","83.2899999999981","174.637000000001","8","14"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1116.806","1135.078","7","18.2719999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","7","291.939","247.066999999998","539.005999999998","15","15"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1135.078","1142.896","1A","7.81799999999998","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","8A","357.867999999996","515.844000000001","873.711999999997","19","16"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1142.896","1182.245","4","39.3489999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","Total","27012.465","19156.739","46169.204","207","17"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1182.245","1217.093","1A","34.8480000000002","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","Check: register total","","","46169.204","207","18"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1217.093","1232.924","4","15.8309999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-002.2","1232.924","1255.696","8A","22.7719999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20"
"","","","","","","","","","D-DWG-PHW-002.2","D-DWG-PHW-003.2","1255.696","1733.958","1A","478.262","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21"
"","","","","","","","","","D-DWG-PHW-003.2","D-DWG-PHW-003.2","1733.958","1787.137","5","53.1789999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22"
"","","","","","","","","","D-DWG-PHW-003.2","D-DWG-PHW-003.2","1787.137","2036.932","1A","249.795","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23"
"","","","","","","","","","D-DWG-PHW-003.2","D-DWG-PHW-003.2","2036.932","2038.507","4","1.57500000000005","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24"
"","","","","","","","","","D-DWG-PHW-003.2","D-DWG-PHW-004.2","2038.507","2110.24","8A","71.7329999999997","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25"
"","","","","","","","","","D-DWG-PHW-004.2","D-DWG-PHW-004.2","2110.24","2122.834","4","12.5940000000001","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26"
"","","","","","","","","","D-DWG-PHW-004.2","D-DWG-PHW-004.2","2122.834","2468.34","1A","345.506","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27"
"","","","","","","","","","D-DWG-PHW-004.2","D-DWG-PHW-004.2","2468.34","2500.706","4","32.366","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28"
"","","","","","","","","","D-DWG-PHW-004.2","D-DWG-PHW-004.2","2500.706","2791.911","1A","291.205","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29"
"","","","","","","","","","D-DWG-PHW-004.2","D-DWG-PHW-005.2","2791.911","2813.28","4","21.3690000000001","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30"
"","","","","","","","","","D-DWG-PHW-005.2","D-DWG-PHW-005.2","2813.28","2846.195","1A","32.915","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31"
"","","","","","","","","","D-DWG-PHW-005.2","D-DWG-PHW-005.2","2846.195","2881.928","4","35.7329999999997","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32"
"","","","","","","","","","D-DWG-PHW-005.2","D-DWG-PHW-006.2","2881.928","3534.937","1A","653.009","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33"
"","","","","","","","","","D-DWG-PHW-006.2","D-DWG-PHW-006.2","3534.937","3547.077","4","12.1400000000003","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34"
"","","","","","","","","","D-DWG-PHW-006.2","D-DWG-PHW-007.2","3547.077","4416.742","1A","869.665","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35"
"","","","","","","","","","D-DWG-PHW-007.2","D-DWG-PHW-007.2","4416.742","4455.042","8A","38.3000000000002","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36"
"","","","","","","","","","D-DWG-PHW-007.2","D-DWG-PHW-007.2","4455.042","4534.979","4","79.9369999999999","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37"
"","","","","","","","","","D-DWG-PHW-007.2","D-DWG-PHW-007.2","4534.979","4663.144","1A","128.165","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38"
